month,temp,wind,rh,dmc,dc,ffmc
jun,32,10.0,47,67,142,82
nov,12,6.8,91,33,203,89
aug,29,1.8,13,30,290,81
may,17,1.5,94,29,205,89
jan,24,2.0,40,24,369,71
jan,25,8.6,40,28,244,82
jun,12,3.3,40,67,81,77
jul,31,4.2,79,80,143,75
dec,36,7.6,84,47,107,85
may,29,8.4,22,69,197,73
mar,14,9.8,63,28,194,80
sep,8,7.3,75,78,362,85
apr,25,7.0,90,61,292,72
feb,16,6.5,57,49,390,89
apr,9,5.2,91,23,119,87
apr,8,3.1,52,60,309,77
mar,10,6.4,44,66,101,84
sep,7,1.3,46,42,219,78
dec,26,8.1,60,65,360,72
nov,36,5.4,47,35,268,84
mar,28,6.3,22,42,121,73
apr,26,9.8,14,79,269,90
mar,32,4.2,10,61,271,81
jul,23,9.2,86,42,95,75
dec,13,9.1,10,75,240,85
sep,17,6.6,16,44,166,70
sep,36,5.9,40,22,387,81
sep,28,5.4,73,60,211,70
sep,27,7.1,10,55,374,90
feb,11,6.4,31,51,301,75
jun,26,4.5,76,35,368,74
jun,20,8.3,54,47,173,87
aug,10,1.0,68,22,136,90
jan,10,4.4,29,47,106,86
sep,17,9.3,58,52,278,79
feb,12,6.2,81,32,313,85
sep,29,9.0,35,58,151,71
jun,26,1.0,72,53,158,87
aug,30,8.2,78,21,133,85
jul,14,8.4,79,60,95,83
aug,16,7.9,93,78,181,74
jul,26,5.6,49,29,167,90
oct,22,6.8,88,25,334,78
nov,14,4.1,20,64,352,82
oct,16,1.5,29,60,310,72
aug,22,2.3,30,75,342,83
feb,17,5.8,47,70,243,73
jul,32,8.8,40,28,277,82
may,17,7.1,30,29,149,89
sep,19,4.2,56,40,324,78
jan,16,6.0,34,65,91,73
jan,21,5.2,60,41,130,78
sep,33,1.1,78,79,185,71
jun,31,2.9,18,62,196,90
jan,8,4.3,29,56,195,78
feb,37,5.0,22,68,248,86
oct,19,6.4,18,70,395,73
jan,8,5.0,72,46,148,87
jan,8,1.3,49,34,205,73
aug,7,2.1,65,31,338,85
feb,21,2.8,66,40,206,73
mar,27,2.5,42,67,167,74
oct,13,6.8,50,23,266,89
aug,34,4.0,66,33,114,90
apr,10,8.2,85,25,210,90
jul,10,3.2,74,42,324,86
jan,21,5.5,18,72,394,87
mar,21,5.8,20,70,319,73
aug,31,9.5,22,55,235,80
jun,10,2.1,29,54,209,74
dec,22,5.7,19,79,244,76
apr,25,5.6,18,66,255,74
aug,15,9.5,86,70,109,75
sep,20,2.2,86,76,362,78
dec,9,1.4,80,79,88,70
jul,31,7.0,24,71,184,82
dec,33,2.5,14,44,335,71
nov,23,2.0,15,78,139,76
mar,25,9.6,28,43,285,88
aug,21,9.3,79,25,172,71
jan,7,9.5,82,71,116,87
oct,32,9.9,26,23,203,74
feb,11,0.9,83,80,312,77
aug,17,1.6,72,20,278,78
jun,6,5.8,55,42,279,70
nov,12,2.3,90,66,217,74
aug,29,3.4,47,28,161,87
jul,20,7.6,53,20,305,70
sep,10,8.2,51,53,188,85
may,30,4.0,49,35,382,82
jun,8,6.8,29,33,393,77
dec,30,1.8,49,45,320,81
jan,19,6.0,57,44,131,75
oct,28,1.2,32,34,320,89
feb,17,4.3,84,35,399,73
mar,13,5.7,53,76,312,81
jun,13,5.2,64,77,264,78
jun,5,9.3,95,53,331,80
jan,37,3.4,40,45,98,80
oct,24,4.3,95,68,330,82
aug,29,7.9,30,36,280,84
may,16,2.3,31,39,346,90
sep,12,7.6,49,71,302,78
jun,30,8.2,45,46,234,78
dec,5,3.6,43,42,310,85
sep,9,9.7,37,36,241,86
apr,33,2.1,77,76,356,70
jun,9,7.3,77,56,85,90
sep,10,9.1,76,62,124,84
jun,28,3.0,90,49,210,77
jun,37,4.9,56,74,372,72
jun,24,8.9,74,44,110,78
may,33,3.1,63,25,379,81
nov,8,2.9,38,37,163,76
apr,33,1.3,69,39,216,76
dec,12,4.1,64,31,95,84
nov,35,7.6,21,77,178,82
oct,11,4.6,67,72,324,70
jul,37,4.7,28,49,354,88
feb,37,7.5,45,47,224,72
jul,36,7.9,58,21,370,74
may,36,6.5,61,45,295,89
dec,25,5.3,54,43,181,78
jan,30,3.9,22,48,123,89
jun,17,1.2,46,64,123,88
mar,18,7.1,26,68,378,78
apr,29,4.5,53,65,392,80
aug,28,6.0,10,21,315,71
jan,25,3.0,92,65,253,87
apr,7,1.7,55,48,248,73
apr,26,5.6,12,25,122,81
sep,14,5.6,59,55,186,77
oct,31,5.9,27,32,320,87
jun,20,4.3,43,78,147,82
mar,19,8.4,53,62,193,74
nov,24,7.0,77,80,353,86
jul,36,7.1,54,33,217,80
jun,7,6.8,73,79,162,85
dec,27,2.6,36,55,134,83
may,37,7.4,64,62,287,89
aug,33,8.9,56,74,349,77
oct,9,9.2,86,53,248,83
sep,31,9.8,25,75,285,78
nov,21,7.8,95,46,143,90
oct,13,2.6,12,65,367,84
apr,9,0.8,76,44,130,83
nov,30,1.2,76,34,261,76
feb,15,6.7,64,59,359,79
oct,15,2.8,21,61,84,83
may,26,3.9,61,35,129,85
mar,7,2.7,41,55,344,81
oct,16,5.7,42,26,292,82
nov,35,6.4,73,72,357,77
dec,19,8.6,31,63,387,73
dec,7,9.5,83,63,92,86
may,8,3.9,89,35,283,84
jan,27,5.7,44,29,296,75
jul,12,7.7,45,69,330,72
aug,37,9.0,57,22,367,74
jul,33,7.9,73,27,317,73
dec,30,2.2,10,43,238,72
may,19,1.2,80,35,298,72
mar,33,6.7,34,67,244,80
feb,15,6.8,95,36,295,78
sep,7,5.1,41,41,318,86
apr,29,6.0,68,30,93,73
nov,36,8.9,46,75,307,83
mar,25,9.6,51,26,347,88
apr,16,2.7,77,63,88,89
apr,32,8.1,64,57,302,75
apr,14,8.4,58,53,268,82
aug,27,3.9,68,34,186,88
oct,20,3.2,41,35,365,72
nov,17,2.1,77,48,370,82
mar,13,2.9,47,45,323,82
mar,32,4.0,20,23,126,70
jun,13,9.9,66,66,322,74
may,30,4.6,64,77,369,70
dec,23,3.3,41,37,171,72
may,33,2.6,84,64,117,88
jun,13,2.1,43,69,366,90
jan,25,7.6,66,43,341,81
nov,6,4.8,48,53,313,79
jun,19,3.1,67,74,81,83
sep,20,6.4,92,61,243,80
apr,7,4.2,90,34,242,87
jun,22,7.6,16,30,260,90
nov,8,5.9,41,51,107,88
jul,27,2.7,48,52,376,79
jul,14,7.5,24,34,178,72
jan,32,9.3,75,42,129,72
dec,32,1.8,28,57,116,74
dec,16,5.5,49,74,261,90
apr,28,7.3,31,51,267,72
feb,11,1.0,53,30,277,83
aug,5,4.1,29,43,326,71
oct,29,4.4,26,51,241,82
jan,25,7.3,26,26,197,82
oct,28,2.7,51,55,104,88
dec,25,3.6,59,30,255,80
feb,33,4.6,22,76,173,77
aug,37,2.6,21,25,130,86
apr,19,8.8,85,78,234,80
jul,11,1.4,34,47,225,71
jun,31,2.4,62,61,114,89
jul,22,5.8,36,35,172,76
feb,36,1.0,51,59,314,88
oct,17,8.6,76,62,110,71
may,18,2.9,25,46,355,87
dec,37,5.3,46,26,351,89
sep,26,3.7,90,50,372,89
mar,21,5.6,47,69,132,89
may,21,2.7,84,39,385,71
jul,30,1.0,28,64,377,80
apr,37,8.4,61,61,259,88
jul,35,9.7,83,29,197,78
aug,26,8.5,74,41,131,88
dec,18,1.7,52,56,191,87
nov,5,1.4,13,56,338,80
jun,33,9.3,47,50,197,76
jan,16,8.5,58,27,156,84
aug,14,1.4,41,39,205,79
may,9,2.8,65,27,103,81
oct,19,6.0,32,52,270,70
aug,36,3.8,38,79,226,73
jan,33,8.2,94,54,333,87
oct,21,1.1,44,62,208,87
jul,35,5.0,88,54,195,75
jan,21,4.0,65,68,224,80
aug,15,8.7,15,43,94,76
jan,7,7.1,23,25,89,80
aug,19,3.2,51,59,284,86
apr,11,2.3,93,25,317,83
jan,37,7.2,70,47,362,77
nov,17,4.9,72,39,131,74
jan,37,6.0,52,44,248,86
jan,19,2.6,50,26,157,88
sep,11,6.2,53,39,139,76
aug,19,4.8,84,39,393,77
jan,20,6.1,55,55,340,72
mar,13,1.7,84,75,333,73
jun,18,7.7,60,65,302,77
mar,14,3.5,55,23,242,79
sep,11,9.3,22,66,304,74
aug,7,3.0,25,37,238,75
apr,27,5.8,15,46,170,71
may,27,3.6,27,80,334,86
may,25,4.0,19,72,291,85
nov,30,3.5,31,76,188,73
may,19,2.2,79,79,238,71
jul,33,3.0,70,73,86,80
sep,28,6.5,38,63,400,85
feb,15,6.7,27,37,160,85
mar,24,1.1,61,44,182,89
dec,33,7.9,91,62,385,70
sep,14,8.0,60,79,384,89
jul,37,3.4,80,21,373,85
jan,12,2.8,41,36,331,71
apr,35,7.8,49,22,353,90
sep,22,1.8,66,72,368,83
may,12,6.1,65,40,193,79
apr,14,3.5,43,35,121,81
dec,33,6.6,74,62,232,89
apr,31,4.9,77,39,211,87
oct,26,3.8,27,50,309,81
aug,7,2.1,70,72,229,74
aug,10,2.5,58,67,265,84
jan,12,6.9,20,72,269,74
may,33,1.1,15,75,347,84
sep,16,4.3,31,34,353,88
apr,12,5.9,60,38,389,79
dec,12,7.4,89,75,367,74
mar,31,9.3,50,75,227,76
feb,24,3.2,39,26,372,89
jun,13,8.2,56,49,213,77
mar,31,3.2,43,74,111,86
jan,30,9.7,80,77,85,74
dec,34,10.0,54,70,389,87
aug,13,3.6,68,53,221,88
jun,24,8.9,90,71,358,70
nov,30,8.0,88,76,356,78
apr,6,8.9,52,51,224,71
may,6,7.1,78,79,381,70
sep,21,7.6,74,49,130,73
apr,31,7.2,21,59,180,87
apr,7,9.6,49,77,342,74
oct,11,1.0,64,49,99,90
jul,22,3.8,21,67,99,87
apr,27,3.0,41,76,390,89
mar,36,6.8,22,35,364,73
feb,35,9.1,39,49,364,75
jun,20,4.5,14,42,305,79
jul,9,9.3,30,50,296,80
aug,31,9.7,33,39,119,78
jul,28,8.9,17,64,118,81
jan,12,2.6,81,77,220,77
may,23,3.4,61,63,213,88
feb,16,2.6,58,32,131,76
dec,22,3.9,59,32,158,73
may,19,3.4,26,77,172,81
aug,7,8.1,52,39,277,87
dec,20,8.7,74,68,256,84
jun,12,6.0,61,31,373,83
may,21,5.0,62,33,298,73
jan,33,10.0,89,39,98,83
jan,31,4.2,62,22,191,74
jul,14,4.0,85,57,189,86
feb,5,2.3,12,46,232,78
aug,33,6.6,59,44,294,87
sep,12,2.5,25,57,106,85
jul,19,7.0,86,24,339,70
sep,6,7.0,85,62,366,80
mar,18,1.0,21,34,178,89
sep,12,6.8,42,42,205,76
jul,10,9.0,84,39,386,81
jul,19,8.5,31,56,159,70
mar,9,0.9,53,49,114,84
oct,31,1.5,66,75,332,89
jan,35,7.6,66,68,382,84
jan,16,9.9,85,30,233,72
jul,30,5.0,36,66,391,72
jul,16,5.9,79,24,91,89
dec,37,0.8,54,76,245,74
jul,5,7.5,23,38,259,88
oct,26,8.0,42,28,159,73
apr,25,2.5,53,21,311,88
nov,20,2.6,70,45,213,77
may,21,7.7,53,76,143,71
sep,10,7.7,43,43,271,88
nov,32,5.7,73,70,188,71
oct,10,1.2,38,52,137,87
feb,24,7.0,76,24,298,71
sep,5,7.8,74,26,170,77
oct,33,3.3,27,31,326,75
jan,36,7.6,82,48,350,79
aug,7,7.6,88,62,164,73
nov,36,2.9,23,37,175,79
apr,7,4.8,28,71,159,83
aug,37,6.5,25,72,191,90
jun,36,5.6,36,79,187,81
jul,17,4.8,59,62,132,80
mar,30,5.7,49,72,337,83
nov,21,1.4,34,73,229,79
jul,15,8.0,23,21,367,74
dec,18,3.3,10,23,265,81
mar,31,7.6,29,50,118,75
may,17,1.2,87,35,297,77
feb,10,1.5,20,23,311,73
sep,36,4.3,52,72,240,77
jul,20,2.7,16,26,117,87
feb,18,9.4,82,54,82,85
aug,33,5.0,77,57,129,87
dec,18,6.7,80,52,291,76
sep,26,9.0,60,45,249,90
jul,8,2.5,42,48,206,86
jun,26,9.7,49,80,96,75
jan,30,8.0,92,33,367,86
nov,8,7.0,49,52,159,88
oct,9,2.6,37,63,271,81
jun,33,7.3,37,56,263,78
nov,35,6.9,15,44,284,84
nov,15,4.2,33,46,116,80
nov,9,5.0,25,46,177,80
jul,22,2.4,66,60,147,89
sep,14,2.8,31,40,281,79
mar,22,9.7,52,55,262,85
aug,13,2.0,90,68,246,74
jul,15,4.7,64,21,202,74
nov,23,5.3,83,37,386,80
sep,12,4.7,14,26,95,82
jun,18,9.6,64,24,210,72
sep,12,4.3,74,34,241,81
feb,21,1.3,54,49,93,85
jun,23,5.9,24,56,168,87
aug,11,5.0,84,26,274,87
nov,26,7.3,21,60,236,71
dec,12,10.0,23,38,186,77
apr,26,1.5,16,20,234,75
jan,27,7.9,83,62,100,85
apr,17,7.1,47,33,94,74
aug,11,9.6,74,43,103,72
jun,20,5.6,68,74,257,87
may,13,9.2,35,20,88,88
jul,32,2.6,71,52,90,87
jan,16,9.6,50,25,315,79
jan,14,8.7,87,55,322,74
sep,32,9.2,18,26,273,85
aug,22,8.8,30,57,365,83
feb,35,6.3,77,77,143,81
jan,15,10.0,12,28,363,71
apr,20,8.0,80,29,323,77
nov,33,6.3,26,25,342,79
jun,25,8.6,50,80,360,81
jan,26,9.0,33,74,227,90
nov,8,1.6,31,60,193,71
jul,7,7.8,14,33,298,74
jul,14,1.8,80,53,328,86
sep,19,3.6,12,39,283,87
sep,8,1.0,47,61,87,90
feb,21,1.3,81,53,331,84
dec,9,2.0,36,57,255,79
dec,28,9.1,93,64,114,82
jun,26,7.2,17,27,228,90
feb,27,6.1,25,66,156,70
apr,11,9.9,77,58,345,86
oct,26,6.3,57,61,230,86
aug,11,6.3,72,64,395,74
jun,27,7.9,93,30,294,74
feb,32,2.6,56,27,305,70
may,31,2.6,73,33,140,83
jan,8,6.8,79,54,377,80
nov,28,1.2,26,70,191,87
apr,8,2.4,44,50,83,76
jun,7,2.3,73,47,217,70
mar,5,9.2,78,55,398,75
feb,36,6.5,14,36,394,78
jun,5,5.3,56,80,299,73
nov,23,0.9,21,65,307,80
jan,15,3.8,42,73,188,78
aug,9,6.0,52,29,131,72
dec,12,8.2,67,21,102,71
jun,6,1.8,86,77,191,70
apr,16,8.8,82,43,303,74
nov,24,1.4,63,69,128,77
aug,36,9.9,13,71,106,82
nov,7,7.8,67,58,235,84
feb,22,1.4,57,44,244,76
jun,22,7.3,29,33,148,74
jan,30,8.5,48,54,379,85
apr,20,8.1,92,25,211,80
oct,30,6.0,67,79,147,87
jan,16,7.5,66,34,138,71
jun,18,9.2,37,37,351,89
feb,11,3.2,27,65,282,88
nov,11,6.9,43,42,384,90
may,8,7.7,52,38,203,87
sep,33,4.7,41,63,302,76
feb,15,8.6,33,39,200,88
apr,37,3.0,91,52,360,81
dec,12,3.0,35,59,212,90
feb,37,7.6,81,62,122,80
oct,14,6.2,33,43,334,75
dec,6,8.9,37,71,86,74
jun,9,9.4,90,57,324,71
sep,20,7.5,76,52,300,80
aug,34,1.1,43,51,201,77
may,32,6.7,52,73,335,79
jun,12,3.9,83,79,264,70
jan,30,0.8,60,44,260,81
may,12,10.0,95,53,278,79
nov,9,7.2,67,53,151,86
apr,29,10.0,89,52,248,76
oct,22,7.7,18,55,132,82
oct,9,10.0,46,35,163,84
jan,6,1.6,39,41,293,86
sep,26,3.2,67,33,123,76
jun,33,6.2,65,74,122,89
feb,36,3.4,63,50,148,89
apr,14,10.0,59,39,343,70
mar,32,5.6,47,38,381,77
feb,32,5.8,37,45,274,79
jul,18,10.0,79,52,104,71
feb,20,3.5,45,55,373,81
apr,36,4.7,61,59,220,78
feb,24,2.9,65,57,392,75
sep,37,4.0,74,78,169,82
aug,15,8.8,18,65,249,81
sep,33,8.0,40,41,142,71
apr,12,2.8,76,32,228,84
jan,27,4.0,77,20,89,82
mar,14,9.1,48,33,301,88
sep,30,1.0,37,62,143,89
sep,20,4.7,71,28,211,75
mar,32,4.3,73,39,116,77
jan,22,9.9,35,59,83,87
jul,14,4.3,61,78,344,84
may,36,7.1,69,62,326,87
sep,32,9.3,14,62,261,77
mar,26,2.1,79,33,167,76
aug,34,0.8,52,68,294,75
dec,28,4.0,51,42,132,90
jan,23,9.5,93,20,354,82
dec,37,8.2,93,53,280,84
oct,5,6.8,91,62,213,78
sep,11,5.9,41,34,254,81
may,24,1.3,84,34,109,76
aug,6,6.5,42,75,139,75
oct,11,7.5,90,54,140,84
dec,8,9.8,90,24,264,82
sep,14,1.9,71,65,352,81
feb,33,3.8,76,34,293,79
feb,16,6.5,76,40,366,75
sep,5,2.7,49,67,261,84
dec,13,6.6,89,27,183,87
oct,35,1.6,79,50,285,73
jan,12,6.1,82,33,328,76
jul,11,2.9,65,52,363,82
oct,11,7.7,88,22,85,85
apr,20,2.1,91,52,188,87
jan,23,4.3,71,23,360,73
apr,5,10.0,62,79,148,70
dec,26,9.2,78,73,96,85
apr,11,4.9,75,78,286,71
aug,16,3.3,92,21,218,83
aug,12,8.3,81,28,194,82
jul,37,7.1,95,70,215,74
oct,37,9.6,34,71,367,80
aug,10,9.8,17,23,239,78
oct,36,8.2,31,36,179,86
oct,21,4.1,32,30,164,89
may,9,4.4,52,38,139,81
sep,34,8.9,84,29,94,77
nov,12,4.7,10,44,263,75
jan,34,7.7,32,26,175,76
dec,5,3.7,86,53,291,81
oct,18,9.5,43,43,338,73
jul,11,3.5,15,35,338,76
jan,21,5.3,88,39,367,87
jun,16,5.7,36,76,223,89
feb,32,9.5,76,71,246,90
nov,13,5.1,93,39,100,87
jun,21,3.5,72,24,239,73
dec,22,3.6,84,40,146,80
sep,6,3.8,41,33,117,86
mar,18,5.6,79,79,283,90
sep,27,3.2,41,51,112,77
mar,16,3.8,91,80,354,76
jan,18,6.0,23,42,93,88
sep,15,4.3,82,75,305,87
aug,33,4.1,42,31,152,82
aug,23,2.5,46,46,85,76
feb,13,2.6,13,37,255,89
aug,26,5.7,51,69,271,80
mar,9,9.0,46,62,198,88
apr,28,1.8,21,65,301,76
jun,11,7.4,31,33,106,88
jun,22,1.6,45,39,315,89
nov,33,1.3,72,57,378,77
sep,11,2.1,69,21,327,88
oct,17,5.9,85,36,291,76
jan,6,8.1,49,48,147,78
sep,27,7.1,50,20,158,89
mar,28,4.8,63,33,84,83
mar,25,2.5,26,52,291,84
jul,7,10.0,18,32,219,78
nov,21,9.2,80,51,325,89
may,26,4.1,51,23,325,80
aug,8,8.3,22,58,190,89
feb,10,8.2,59,44,375,83
jan,5,5.9,87,75,130,77
jan,8,8.0,32,44,256,72
jul,13,1.9,41,59,109,81
mar,7,0.9,70,20,297,74
aug,15,7.7,48,27,250,72
dec,13,9.3,90,51,262,75
dec,7,5.9,45,62,241,79
aug,32,2.1,71,53,244,70
aug,5,1.5,70,53,310,76
dec,8,3.8,42,64,299,86
aug,22,7.6,12,24,240,80
oct,24,1.8,16,47,299,72
apr,14,0.9,62,48,109,86
jul,33,7.3,76,56,85,71
oct,24,6.0,34,23,359,74
oct,28,4.3,26,46,125,79
jan,12,4.9,90,27,105,82
jun,17,4.3,55,23,380,78
may,6,5.9,69,48,229,75
feb,11,3.2,87,39,210,82
mar,27,8.0,16,51,321,87
nov,18,2.2,10,32,186,71
jul,13,9.8,17,30,324,71
apr,11,5.9,66,59,144,75
apr,15,2.6,87,24,167,72
jan,9,4.1,65,61,290,87
oct,18,1.4,62,42,206,86
mar,25,1.5,93,55,274,70
mar,33,6.0,69,30,106,73
jun,35,3.2,50,48,328,85
nov,25,9.5,45,31,266,81
jul,36,3.5,78,34,400,81
feb,7,2.3,55,56,273,88
jul,30,2.5,49,70,315,77
mar,17,3.2,51,46,147,85
nov,10,1.3,60,56,300,82
dec,14,9.5,85,73,318,70
jun,9,4.8,46,30,101,78
aug,11,7.4,54,38,333,73
jun,29,5.1,65,64,203,82
jan,14,8.3,25,68,334,85
jan,12,4.2,29,37,133,72
jul,37,5.6,14,35,288,71
oct,32,9.2,82,59,162,73
jun,19,7.0,75,37,224,72
aug,7,3.0,66,60,385,77
mar,20,3.1,70,37,307,74
feb,25,7.5,23,50,168,81
nov,24,6.3,65,71,285,79
jun,20,4.4,20,35,323,89
mar,25,1.0,39,75,320,78
sep,21,3.5,77,45,331,88
jun,31,1.6,59,75,284,72
oct,17,6.7,84,40,299,82
may,14,1.7,46,24,297,77
aug,12,1.4,57,53,345,73
feb,33,9.7,81,40,174,79
apr,13,7.8,45,53,144,73
aug,9,1.2,60,31,217,81
jul,33,5.0,83,52,319,89
jan,30,3.1,68,24,353,84
dec,7,9.1,95,43,176,83
jan,7,5.8,83,31,384,81
dec,7,5.9,26,66,313,89
mar,17,5.2,37,41,145,74
jan,35,8.1,84,79,332,79
apr,31,1.4,41,44,184,80
feb,14,0.9,11,51,262,71
oct,15,1.8,49,31,94,79
jun,5,4.3,80,64,363,71
oct,31,2.9,41,55,204,89
jul,12,8.6,49,33,271,81
may,26,7.4,84,80,353,73
jan,19,2.0,84,44,124,76
feb,31,4.8,29,73,274,74
jul,12,2.6,22,70,336,78
nov,9,3.5,67,68,144,82
nov,23,2.1,32,39,386,81
sep,12,8.4,49,54,166,90
oct,29,9.4,47,51,373,85
nov,27,3.0,10,58,237,83
sep,10,3.3,46,75,160,84
dec,33,8.7,55,79,131,84
nov,28,8.2,50,56,172,83
jun,22,1.9,55,49,168,73
jul,19,1.6,43,35,242,80
jan,34,8.8,72,31,250,73
sep,6,6.1,60,59,164,80
apr,32,6.8,24,80,395,74
feb,23,4.3,81,26,100,74
apr,35,9.2,41,35,220,83
dec,12,0.8,28,64,85,80
feb,22,3.0,47,40,343,78
aug,11,7.3,69,73,134,78
nov,10,8.6,40,26,195,84
dec,29,7.7,22,37,341,88
apr,27,8.2,61,63,199,78
dec,30,1.8,18,20,332,89
dec,19,7.5,67,73,163,86
